FOLDER & FILE,START FRAME,END FRAME,ACTION,BOX-start: x,BOX-start: y,BOX-start: w,BOX-start: h,BOX-end: x,BOX-end: y,BOX-end: w,BOX-end: h,CAMERA ANGLE,MID frame,BOX-mid: x,BOX-mid: y,BOX-mid: w,BOX-mid: h
archery/26098___62fc553e17714a8a8e500db0ac5446af.mp4,1,158,archery,0.031787,0.062102,0.98393,0.86478,0.0094252,0.125,1.0063,0.86478,Side,,,,,
archery/26225___5e6957dd7589412984277282afbd8bc1.mp4,1,129,archery,0.017205,0.027583,1,0.9,0.010879,0.052494,1,0.9,Side,,,,,
archery/26448___af8628b4b30b4864866d7b967d31e064.mp4,1,140,archery,0.020606,0.018077,0.94479,0.86478,0.0094252,0.014932,0.97834,0.86478,Side,,,,,
archery/2659___e9303b8e63374ee0b1f449e8c2e17687.mp4,20,134,archery,0.13318,0.018581,0.49479,0.86731,0.21372,0.060652,0.50629,0.86731,Back,,,,,
archery/2889___bd23c086bf144fe2ab4b7b5d1797db81.mp4,4,116,archery,0.14135,0.002821,0.85765,0.99644,0.038148,0.002821,0.96441,0.99644,Side,,,,,
archery/3003___6159ac6555a24eefa689eac47cff59be.mp4,290,379,archery,0.0061193,0.052199,0.98221,0.94,0.013237,0.14077,0.97865,0.85,Side,,,,,
archery/3041___276d13c528974344aa8fa7d41eaac647.mp4,68,190,archery,0.029616,0,0.89752,1.0032,0.046876,0.0023994,0.85725,1.0032,Back,,,,,
archery/3228___7f56ee459e384a3ea8b52cf8e062b21f.mp4,299,519,archery,0.10406,0.1545,0.88889,0.68932,0.00050229,0.17716,0.99676,0.68932,Side,,,,,
archery/3272___6c3f273120504ab9b76d033096786034.mp4,176,367,archery,0.0066028,0.27748,0.98382,0.49515,0.018109,0.32926,0.98382,0.49515,Side,,,,,
archery/3415___03a43d4f7f4249a699f717cf7d770377.mp4,37,145,archery,0.34025,0.00089215,0.30605,1.0186,0.35448,-0.011761,0.28826,1.0186,Mixed,,,,,
archery/41382___4cc3c4e0a91f476f85547f46a6210c2d.mp4,1,128,archery,0.080472,0.013348,1,0.9,0.24496,0.056053,1,0.9,Side,,,,,
archery/4148___409f20f1b9f043d8b82e002643ba4e27.mp4,75,145,archery,0.3442,0,0.38434,0.98695,0.34064,0.0079132,0.35943,0.98695,Back,,,,,
archery/4572___f70ece6af44c4de6b57df00a9fb63a9f.mp4,1,114,archery,0.34737,0.076811,0.31317,0.83511,0.35448,0.1464,0.30961,0.83511,Side,,,,,
archery/4671___24f1db27d3b14cfeb6297dc1bb1cbe69.mp4,1,96,archery,0.0066028,0.028289,0.96656,0.92233,0.0066028,0.044471,0.99533,0.92233,side,,,,,
archery/4802___a8ab94a32988443c8c0e4790152ff10f.mp4,103,188,archery,0.029616,0.0056356,0.93779,0.99353,0.052629,0.0056356,0.90327,0.99353,side,,,,,
archery/4808___dde45485b45c40adb0972f22443a3f0d.mp4,8,185,archery,0.18761,-0.00474,0.67972,0.98695,0.048824,0,0.83986,0.98695,side,,,,,
archery/4918___95a7860a506345bfb5e68d6a072c6db5.mp4,307,525,archery,0.20222,0.14156,0.73067,0.69579,0.10441,0.18687,0.89752,0.69579,Side,,,,,
archery/5076___dfd57d85942f4052afeb8fc832f626b7.mp4,448,667,archery,0.14491,0.020566,0.85053,0.92369,0.013237,0.020566,0.89324,0.92369,Side,,,,,
archery/5346___2de1678057af471daccec05c3d7a077c.mp4,283,428,archery,0.17318,0.019844,0.46975,0.70913,0.21233,0.026175,0.32384,0.70913,Front,,,,,
archery/5401___86d7d51bc891491ca80ce34e8755864a.mp4,1,30,archery,0.13858,0.086542,0.863,0.78317,0.0091323,0.21599,0.98813,0.78317,Side,,,,,
archery/5439___c57186fbb2d24b65b3662a06e8d73466.mp4,453,607,archery,0.17674,0.038838,0.68683,0.93707,0.20521,0.057833,0.65836,0.93707,Side,,,,,
archery/5439___c57186fbb2d24b65b3662a06e8d73466.mp4,432,611,archery,0.1803,-0.03714,0.60854,0.97506,0.14827,-0.011814,0.62278,0.97506,Side,,,,,
archery/5567___5708a059d65345c38b2b41bac8362113.mp4,102,113,archery,0.0066028,0.044471,0.85149,0.87055,0.0066028,0.12538,0.84574,0.87055,Side,,,,,
archery/5643___a47487c4701b4df0a6f2a4c120a72cdc.mp4,199,420,archery,0.34737,0.064158,0.30249,0.79083,0.35092,0.038852,0.30249,0.79083,Side,,,,,
archery/5908___e954b0e99a9e4f42bc7380bae8a4306a.mp4,160,352,archery,0.34737,0.038852,0.2669,0.72123,0.35092,0.045178,0.2242,0.72123,Back,,,,,
archery/5962___9965210106d04acb9fff75c0ff6e556b.mp4,402,521,archery,0.29438,0.077506,0.64057,0.86042,0.18406,0.045873,0.76157,0.86042,Side,,,,,
archery/6140___9bc2cc90b13d4155a04c7bdd61df70c0.mp4,56,68,archery,0.46112,0.18363,0.42575,0.65049,0.49564,0.19981,0.45451,0.65049,Back,,,,,
archery/6215___e4bf1e1d47204bbf81f13c9765c314d3.mp4,1,23,archery,0.21372,0.14479,0.78245,0.53074,0.15044,0.17068,0.82848,0.53074,Side,,,,,
archery/6215___e4bf1e1d47204bbf81f13c9765c314d3.mp4,298,545,archery,0.18496,0.1545,0.77095,0.50162,0.15619,0.16745,0.82848,0.50162,Side,,,,,
archery/6332___8da09aedccd04521b541d484e09f2578.mp4,29,92,archery,0.12356,0,0.86121,0.9996,0.055941,0.0015866,0.93594,0.9996,side,,,,,
archery/6441___389840d4b97d4028a4646ae77afe5ff8.mp4,122,437,archery,0.15539,0.032507,0.69751,0.91174,0.14115,0.032507,0.56228,0.91174,Back,,,,,
archery/6696___992f4774500d49ada16a9be5641d0c52.mp4,1,89,archery,0,0.007566,0.74021,0.97746,0.055941,0.017056,0.84342,0.97746,Side,,,,,
archery/6759___6ccd30c54c8c4403be8849a0c09dccd9.mp4,240,442,archery,0.19071,0.2257,0.70191,0.32039,0.16194,0.2257,0.74218,0.32039,Side,,,,,
archery/7041___a18fcde2625a49c9bf253c4ff4dbbcd9.mp4,150,201,archery,0.012356,0.13509,0.98382,0.8479,0.035369,0.15127,0.96081,0.8479,Side,,,,,
archery/7264___5005075d8c3b4e468f428975519ddaaa.mp4,252,377,archery,0.3616,0.15906,0.28114,0.63266,0.36516,0.095791,0.28826,0.63266,Side,,,,,
archery/7442___bd250d1ad35b43cf8c11b18162cc5c15.mp4,128,222,archery,0.12995,0.24188,0.68177,0.60841,0.022077,0.18039,0.863,0.60841,Side,,,,,
archery/7442___bd250d1ad35b43cf8c11b18162cc5c15.mp4,603,700,archery,0.043652,0.060652,0.82848,0.69579,0.013447,0.070361,0.95793,0.69579,Side,,,,,
archery/7556___d5a0a7a5ae844781954f4a23e1a05a26.mp4,29,169,archery,0.041511,0.0071805,0.91815,0.97506,0.14471,0.013512,0.85409,0.97506,side,,,,,
archery/7815___17a8550b3957403ca35aedd71db2392f.mp4,196,393,archery,0.046876,0.041234,0.93204,0.82524,0.064136,0.018581,0.863,0.82524,Back,,,,,
archery/9044___3e8b69ac597b4807ab16aa74bfad3f28.mp4,363,542,archery,0.51107,0.12742,0.13879,0.7845,0.52174,0.1211,0.13523,0.7845,Back,,,,,
archery/9222___d712edcfa86a4986a14330ff011c9143.mp4,53,185,archery,0.14847,0.0079132,0.78648,0.98062,0.11288,0.020566,0.86477,0.98062,Mixed,,,,,
archery/9390___ffa3d051848948afb9588d7cd85deab8.mp4,6,103,archery,0.35092,0.064158,0.30605,0.88573,0.35448,0.11477,0.29893,0.88573,Side,,,,,
baseball/1092___ffbc359e04534e568514b7ec58e568a7.mp4,111,131,Pitching,0.3162,0.34714,0.36111,0.22917,0.37176,0.35755,0.27778,0.22917,Front,,,,,
baseball/1207___985f7ce49303477d93b2b1cc7f98b894.mp4,26,79,Pitching,0.1816,0.17005,0.60417,0.55208,0.23021,0.27943,0.64583,0.55208,Back,,,,,
baseball/1265___266aac5e514340688711a5b8d4caf303.mp4,1,9,Pitching,0.50799,0.26901,0.30556,0.29167,0.5566,0.28984,0.31944,0.29167,Side,,,,,
baseball/1265___266aac5e514340688711a5b8d4caf303.mp4,49,101,Pitching,0.2441,0.22214,0.50694,0.45833,0.48715,0.23776,0.44444,0.45833,Side,,,,,
baseball/1307___884b1eed93294c788bdf0df94ef270c9.mp4,48,82,Batting,0.13801,0.11556,0.8218,0.7673,0.070921,0.096693,0.78267,0.7673,Side,,,,,
baseball/136___a5ae4b2b86274243b593a3194e2ff6f9.mp4,1,17,Batting,0.51816,0.33254,0.16212,0.15094,0.56288,0.35141,0.12299,0.15094,Side,,,,,
baseball/1399___ed35d4d4bfcb42dca6094b825ab15bff.mp4,221,241,Batting,0.29769,0.27422,0.36111,0.23958,0.30694,0.31068,0.32407,0.23958,Back,,,,,
baseball/1428___088d10d336b145ef98da55b4b7e5fbf2.mp4,149,179,Batting,0.22367,0.26221,0.2008,0.3219,0.24564,0.31483,0.19753,0.3219,Side,,,,,
baseball/1484___85b514535abd412a845e883d34963270.mp4,33,86,Batting,0.05974,0.13128,0.7659,0.94025,0.082102,0.040089,0.8833,0.94025,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,110,122,Batting,0.37482,0.31955,0.29917,0.26214,0.19071,0.33897,0.47753,0.26214,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,239,248,Batting,0.28852,0.2613,0.41424,0.31392,0.11016,0.26454,0.53506,0.31392,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,373,385,Batting,0.2655,0.27748,0.45451,0.30097,0.075643,0.28395,0.57533,0.30097,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,514,524,Batting,0.28276,0.26454,0.44301,0.30097,0.11592,0.2613,0.55807,0.30097,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,658,670,Batting,0.31153,0.29043,0.42575,0.28155,0.12167,0.30013,0.54081,0.28155,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,844,861,Batting,0.27701,0.28719,0.44301,0.30097,0.18496,0.2613,0.50054,0.30097,Side,,,,,
baseball/1572___82b9924873eb4ef2937d3378ce09fdc1.mp4,984,994,Batting,0.3403,0.27424,0.4315,0.28803,0.15044,0.27101,0.54657,0.28803,Side,,,,,
baseball/159___46599ed4c8a743ceb9385afd5c0c1c2e.mp4,1,62,Batting,0.1436,0.22248,0.57582,0.60063,0.16037,0.31053,0.50314,0.60063,Side,,,,,
baseball/1652___18389346ecd94c6b83bb722c7f5c120c.mp4,47,97,Pitching,0.28336,0.3011,0.3522,0.28616,0.19391,0.39229,0.58141,0.28616,Front,,,,,
baseball/1681___9adc69b1d4ec431ebe3944fcbabb1048.mp4,108,134,Batting,0.33472,0.28984,0.44444,0.21354,0.33472,0.32109,0.44444,0.21354,Side,,,,,
baseball/1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,94,110,Batting,0.018109,0.012108,0.79396,0.75728,0.029616,0.015344,0.97231,0.75728,Side,,,,,
baseball/1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,446,464,Batting,0.018109,0.012108,0.89752,0.70874,0.029616,0.012108,0.96656,0.70874,Side,,,,,
baseball/1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,787,805,Batting,0.018109,0.0088719,0.86875,0.77023,0.018109,0.018581,0.97231,0.77023,Side,,,,,
baseball/1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,1148,1175,Batting,0.018109,0.0088719,0.90327,0.71197,0.023863,0.083306,0.95505,0.71197,Side,,,,,
baseball/1752___618bcafb720d4fac854fabcc9c4fab8e.mp4,1479,1502,Batting,0.018109,0.0056356,0.82273,0.7411,0.023863,0.041234,0.97231,0.7411,Side,,,,,
baseball/182___9a913d9346db4197b833d268b1557a1b.mp4,44,98,Pitching,0.1125,0.17526,0.7037,0.60417,0.084722,0.2013,0.86111,0.70312,Front,,,,,
baseball/182___9a913d9346db4197b833d268b1557a1b.mp4,423,476,Pitching,0.23287,0.14401,0.63889,0.60938,0.12176,0.18568,0.87037,0.63021,Front,,,,,
baseball/1831___4faf4d92b8584866883cd860a24dcecc.mp4,30,61,Pitching,0.82207,0.30505,0.10843,0.17558,0.80119,0.35141,0.11523,0.17558,Side,,,,,
baseball/1831___4faf4d92b8584866883cd860a24dcecc.mp4,63,78,Batting,0.41243,0.4407,0.15663,0.27069,0.42671,0.44652,0.17284,0.27069,Side,,,,,
baseball/1845___18d04b6fb3844ead94c602ae47e131b6.mp4,100,174,Pitching,0.05,0.0089543,0.5,0.87314,0.3,0.032581,0.6,0.87314,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,22,50,Batting,0.24811,0.0079132,0.51957,0.94267,0.25879,0.03322,0.57651,0.94267,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,203,227,Batting,0.19473,0.0079132,0.5694,0.91103,0.23032,0.045873,0.53381,0.91103,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,371,402,Batting,0.21964,0.0079132,0.50178,0.93634,0.20897,0.020566,0.57295,0.93634,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,555,581,Batting,0.18406,0.01424,0.5694,0.93634,0.18406,0.020566,0.62989,0.93634,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,742,772,Batting,0.21964,0.01424,0.48043,0.94899,0.25879,0.01424,0.4911,0.94899,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,1103,1132,Batting,0.23032,0.020566,0.5089,0.95532,0.25167,0.020566,0.51601,0.95532,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,1264,1293,Batting,0.2232,0.0079132,0.53737,0.94267,0.23744,0.01424,0.56228,0.94267,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,1514,1543,Batting,0.24455,0.0015866,0.49466,0.9743,0.2232,0.0079132,0.59786,0.9743,Side,,,,,
baseball/1890___379b4237796047bc9c829db2798e108a.mp4,1692,1722,Batting,0.23388,0.0079132,0.4484,0.96164,0.22676,0.01424,0.52313,0.96164,Side,,,,,
baseball/1901___784525f3767b49fe93410bf160e2701d.mp4,38,72,Pitching,0.12683,0.18474,0.41929,0.54088,0.25541,0.29481,0.75472,0.54088,Side,,,,,
baseball/1908___736ef5b7ecc44cd6859a1b49cf4c3c31.mp4,24,44,Batting,0.25541,0.36084,0.54787,0.42138,0.082102,0.30739,0.62614,0.42138,Side,,,,,
baseball/1947___d7de881e78c64cd98e7486cd448ae0fe.mp4,128,185,Pitching,0.047685,0.22214,0.7963,0.51042,0.047685,0.26901,0.94444,0.51042,Side,,,,,
baseball/1956___a5379188e6714f948a4181c7de105024.mp4,221,257,Catching,0.14491,0.44445,0.13523,0.24041,0.15559,0.4318,0.13167,0.24041,Side,,,,,
baseball/1956___a5379188e6714f948a4181c7de105024.mp4,722,750,Batting,0.29082,0.2673,0.18505,0.32898,0.30505,0.2673,0.22776,0.32898,Side,,,,,
baseball/1958___9785989a2a9c46659febb4359d2c5826.mp4,169,191,Batting,0.23287,0.35234,0.49074,0.23958,0.19583,0.36797,0.52778,0.23958,Back,,,,,
baseball/1986___e22e49756f31404da9835c7e9d59860c.mp4,90,122,Pitching,0.26383,0.38358,0.14859,0.25606,0.2086,0.37336,0.16049,0.25606,Side,,,,,
baseball/1993___b350e305e076459dbc57319676425cf4.mp4,87,139,Pitching,0.27917,0.22214,0.73148,0.66146,0.19583,0.17005,0.7963,0.66146,Back,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,289,314,Batting,0.046876,0.26454,0.52931,0.46602,0.087149,0.25806,0.77095,0.46602,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,366,384,Batting,0.023863,0.23865,0.54081,0.46602,0.041123,0.24188,0.88601,0.46602,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,435,458,Batting,0.018109,0.19657,0.46027,0.4822,0.092903,0.23217,0.75369,0.4822,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,508,530,Batting,0.029616,0.24512,0.52355,0.50485,0.052629,0.23217,0.75369,0.50485,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,584,605,Batting,0.052629,0.21599,0.51205,0.46926,0.087149,0.21599,0.74793,0.46926,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,658,680,Batting,0.064136,0.19981,0.49479,0.4822,0.064136,0.20305,0.67889,0.4822,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,726,750,Batting,0.035369,0.15127,0.64437,0.46602,0.092903,0.18687,0.83999,0.46602,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,894,913,Batting,0.058383,0.14156,0.64437,0.47896,0.11016,0.17068,0.83999,0.47896,Side,,,,,
baseball/2018___06dc075db7bb4193ae80d6f40542800b.mp4,960,982,Batting,0.046876,0.11567,0.55807,0.50485,0.098656,0.15127,0.83423,0.50485,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,1,45,Pitching,0.27126,0.19657,0.29342,0.21036,0.39783,0.26777,0.3452,0.21036,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,131,157,Catching,0.30002,0.32602,0.27041,0.20712,0.28276,0.32602,0.30493,0.20712,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,192,240,Pitching,0.32304,0.34868,0.20137,0.21359,0.34605,0.33573,0.27616,0.21359,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,334,355,Catching,0.32304,0.35191,0.26465,0.19741,0.25975,0.35191,0.31068,0.19741,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,402,431,Pitching,0.28852,0.34868,0.27616,0.18123,0.32304,0.35515,0.28191,0.18123,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,521,549,Catching,0.33454,0.3325,0.25315,0.19417,0.32879,0.3325,0.30493,0.19417,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,609,643,Pitching,0.36906,0.34868,0.28767,0.21036,0.36906,0.31632,0.29917,0.21036,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,726,753,Catching,0.3518,0.32602,0.22438,0.20388,0.32304,0.30984,0.26465,0.20388,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,790,829,Pitching,0.31153,0.31955,0.28191,0.2233,0.40934,0.32279,0.27616,0.2233,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,913,941,Catching,0.27126,0.31632,0.23013,0.21036,0.23098,0.30984,0.26465,0.21036,Side,,,,,
baseball/2019___93372aec80fb45c5aabb46a671af4e47.mp4,989,1017,Pitching,0.254,0.32602,0.21287,0.19741,0.31728,0.31955,0.27041,0.19741,Side,,,,,
baseball/2036___4951c226c199445ba8a464c2ecf92d89.mp4,113,135,Batting,0.45509,0.3888,0.23148,0.13021,0.45509,0.39401,0.25926,0.13021,Side,,,,,
baseball/204___0397c8b4fc09459fa5ae76300e646420.mp4,101,178,Pitching,0.24777,0.033741,0.50602,0.971,0.02753,0.17583,0.53909,0.81207,Side,,,,,
baseball/204___0397c8b4fc09459fa5ae76300e646420.mp4,560,635,Pitching,0.2317,0.026601,0.51406,0.92816,0.064567,0.12462,0.5144,0.85597,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,33,74,Batting,0.1792,0.20952,0.56383,0.4466,0.254,0.21599,0.63862,0.4466,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,220,256,Batting,0.254,0.20628,0.41999,0.43366,0.31153,0.24835,0.64437,0.43366,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,408,447,Batting,0.19646,0.21599,0.48328,0.42718,0.24249,0.21923,0.53506,0.42718,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,592,627,Batting,0.20797,0.1901,0.48903,0.50162,0.2655,0.20628,0.59835,0.50162,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,793,820,Batting,0.17345,0.18363,0.50054,0.49191,0.22523,0.20305,0.65588,0.49191,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,973,1007,Batting,0.17345,0.15127,0.51205,0.41424,0.30002,0.22246,0.59259,0.41424,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,1172,1196,Batting,0.20222,0.18363,0.46027,0.40777,0.24249,0.20952,0.59835,0.40777,Side,,,,,
baseball/2094___bbba90343b124cf7ba6f0a092f92f972.mp4,1351,1384,Batting,0.19071,0.17716,0.47753,0.45955,0.254,0.1545,0.65588,0.45955,Side,,,,,
baseball/2158___f2df294e81694b5a9f3d1d2644abf95c.mp4,84,120,Pitching,0.098873,0.33883,0.39133,0.3522,0.14919,0.3577,0.45283,0.3522,Back,,,,,
baseball/2167___c76b7de274f94f9daf61b559ca16a1b0.mp4,23,54,Batting,0.13242,0.11556,0.63173,0.59434,0.13801,0.23191,0.80503,0.59434,Side,,,,,
baseball/2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,49,64,Batting,0.20222,0.13832,0.55807,0.53398,0.23674,0.18039,0.75369,0.53398,Side,,,,,
baseball/2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,223,242,Batting,0.22523,0.16098,0.65588,0.5178,0.19071,0.23217,0.79971,0.5178,Side,,,,,
baseball/2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,599,618,Batting,0.23674,0.20628,0.71917,0.55016,0.32304,0.22246,0.67314,0.55016,Side,,,,,
baseball/2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,769,787,Batting,0.13893,0.1901,0.74218,0.59547,0.15619,0.17392,0.83423,0.59547,Side,,,,,
baseball/2276___a0060391d1fb4defbb0570cd9ee7357d.mp4,936,953,Batting,0.17345,0.19334,0.57533,0.55663,0.21948,0.1901,0.78245,0.55663,Side,,,,,
baseball/2355___8a834a492dc44faa9ffdf654a81e10d5.mp4,31,70,Pitching,0.098873,0.20361,0.36338,0.4434,0.0094252,0.19103,0.68204,0.4434,Side,,,,,
baseball/2363___e99e0dca5c264e20a3612d155f33f39a.mp4,11,33,Batting,0.084722,0.05026,0.88889,0.60417,0.047685,0.065885,0.93519,0.60417,Side,,,,,
baseball/2363___e99e0dca5c264e20a3612d155f33f39a.mp4,106,126,Batting,0.066204,0.0033854,0.92593,0.625,0.047685,0.045052,0.94444,0.625,Side,,,,,
baseball/2363___e99e0dca5c264e20a3612d155f33f39a.mp4,198,218,Batting,0.047685,0.029427,0.9537,0.66667,0.019907,0.034635,0.97222,0.66667,Side,,,,,
baseball/2419___050a86ed48d64993bb19af081fdbff04.mp4,48,77,Batting,0.19391,0.036945,0.76031,0.83962,0.18832,0.15644,0.77708,0.83962,Side,,,,,
baseball/2423___9845e29ab87745b082bfc50800996641.mp4,111,138,Batting,0.010648,0.0033854,1,0.6875,0.029167,0.024219,0.98148,0.6875,Side,,,,,
baseball/2468___058f05b9bb324b29aeb16e69557f3303.mp4,105,146,Pitching,0.47267,0.37644,0.11245,0.20485,0.42259,0.36604,0.12757,0.20485,Side,,,,,
baseball/2538___48d402f5929b49e39ee2bc1ee93da5e3.mp4,13,48,Pitching,0.42046,0.19081,0.11245,0.19021,0.41025,0.20509,0.11111,0.19021,Front,,,,,
baseball/2538___48d402f5929b49e39ee2bc1ee93da5e3.mp4,50,64,Batting,0.54094,0.41214,0.096386,0.27801,0.52136,0.43189,0.12346,0.27801,Back,,,,,
baseball/2602___ca1964aec29149239155360ac3ab7ac8.mp4,25,75,Batting,0.042968,0.043234,0.84976,0.7956,0.015016,0.13443,0.86653,0.7956,Side,,,,,
baseball/2673___14c63fcae1d248a89cfa2652bc82b0ef.mp4,90,135,Pitching,0.093981,0.17005,0.84259,0.51042,0.16806,0.22734,0.73148,0.51042,Back,,,,,
baseball/271___a89cbffb24434ded87bbc47c0756ff5a.mp4,24,52,Pitching,0.12683,0.27908,0.43606,0.36164,0.27777,0.41745,0.50314,0.36164,Back,,,,,
baseball/271___a89cbffb24434ded87bbc47c0756ff5a.mp4,26,72,Catching,0.52934,0.37657,0.21803,0.08805,0.61879,0.43003,0.12299,0.08805,Front,,,,,
baseball/2782___1253cbd96f3a4a249edd7ab9e0b42828.mp4,273,293,Batting,0.33472,0.32109,0.47222,0.23958,0.38102,0.35755,0.42593,0.23958,Side,,,,,
baseball/2784___eef8a5b38bb84d878cbcd4016a2bbe12.mp4,78,111,Pitching,0.40635,0.386,0.13976,0.091195,0.36163,0.36399,0.25716,0.091195,Side,,,,,
